ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Otuke-137_jabirujabirumycteria-1-2,Otuke-137_jabirujabirumycteria-1,huse hemesera,341,false,expert,,h e m e s e r a,SCA,,2
Umutina-242_toucan-1-1,Umutina-242_toucan-1,paɾɛ,258,false,expert,,- - - p a ɾ - - - - - - ɛ,SCA,,1
Bororo-242_toucan-1-1,Bororo-242_toucan-1,apodo,258,false,expert,,- a - p ɔ d - - - - - - ɔ,SCA,,1
Otuke-242_toucan-1-1,Otuke-242_toucan-1,axo,339,false,expert,,a tʃ o,SCA,,1
Umutina-180_penelopebird-1-1,Umutina-180_penelopebird-1,paɾi,306,false,expert,,p a ɾ i,SCA,,1
Bororo-180_penelopebird-1-1,Bororo-180_penelopebird-1,paɾigögo,307,false,expert,,p a ɾ i g ɤ gʷ o,SCA,,1
Umutina-172_owl-1-1,Umutina-172_owl-1,popoɾɛ,308,false,expert,,p o p o ɾ ɛ,SCA,,1
Bororo-172_owl-1-1,Bororo-172_owl-1,tagogo,309,false,expert,,t a g ʌ g ʌ,SCA,,1
Umutina-44_caiman-1-1,Umutina-44_caiman-1,waʒu,310,false,expert,,- w a ʒ u,SCA,,1
Bororo-44_caiman-1-1,Bororo-44_caiman-1,uwai,310,false,expert,,u w ai - -,SCA,,1
Umutina-66_curassow-1-1,Umutina-66_curassow-1,ube,311,false,expert,,u b e,SCA,,1
Bororo-66_curassow-1-1,Bororo-66_curassow-1,kuje,440,false,expert,,k u dʒ e,SCA,,1
Umutina-158_monkey-1-1,Umutina-158_monkey-1,wutukuana,313,false,expert,,w u t u k ua n a,SCA,,1
Bororo-158_monkey-1-1,Bororo-158_monkey-1,juko,314,false,expert,,dʒ u kʷ ɔ,SCA,,1
Otuke-158_monkey-1-1,Otuke-158_monkey-1,aaco,371,false,expert,,aː tʃ o,SCA,,1
Umutina-52_chicken-1-1,Umutina-52_chicken-1,wasaɾamety,315,false,expert,,w a s a ɾ a m e t ɨ,SCA,,1
Bororo-52_chicken-1-1,Bororo-52_chicken-1,kagaɾiga,315,false,expert,,k a g a ɾ - - i g a,SCA,,1
Otuke-52_chicken-1-1,Otuke-52_chicken-1,civiaku,336,false,expert,,tʃ i v ia k u,SCA,,1
Umutina-185_piranha-1-1,Umutina-185_piranha-1,bujɛ,317,false,expert,,b u - - ʒ ɛ,SCA,,1
Bororo-185_piranha-1-1,Bororo-185_piranha-1,buiogo,317,false,expert,,b ɯ j ɔ gʷ ɔ,SCA,,1
Bororo-67_curimbataprochiloduslineatus-1-1,Bororo-67_curimbataprochiloduslineatus-1,do,318,false,expert,,d o,SCA,,1
Umutina-67_curimbataprochiloduslineatus-1-1,Umutina-67_curimbataprochiloduslineatus-1,do,318,false,expert,,d o,SCA,,1
