ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Umutina-93_field-1,,Umutina,93_field,boku,boku,b o k u,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FIELD,58,113
Bororo-95_fingernail-1,,Bororo,95_fingernail,inogi,inogi,i n o g i,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FINGERNAIL,87,115
Umutina-95_fingernail-1,,Umutina,95_fingernail,hino,hino,h i n o,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FINGERNAIL,87,115
Otuke-95_fingernail-1,,Otuke,95_fingernail,reki,reki,r e k i,,de1912linguistique;monfort1913linguistique,,,,,FINGERNAIL,324,343
Bororo-96_fire-1,,Bororo,96_fire,dʒoru / eru / oru / ru / rugadu / eru / oru,dʒoru,dʒ o r u,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FIRE,74,116
Bororo-96_fire-2,,Bororo,96_fire,dʒoru / eru / oru / ru / rugadu / eru / oru,eru,e r u,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FIRE,74,116
Bororo-96_fire-3,,Bororo,96_fire,dʒoru / eru / oru / ru / rugadu / eru / oru,oru,o r u,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FIRE,74,116
Bororo-96_fire-4,,Bororo,96_fire,dʒoru / eru / oru / ru / rugadu / eru / oru,ru,r u,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FIRE,74,116
Bororo-96_fire-5,,Bororo,96_fire,dʒoru / eru / oru / ru / rugadu / eru / oru,rugadu,r u g a d u,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FIRE,74,116
Otuke-96_fire-1,,Otuke,96_fire,reru,reru,r e r u,,de1912linguistique;monfort1913linguistique,,,,,FIRE,74,116
Umutina-96_fire-1,,Umutina,96_fire,zoru,zoru,z o r u,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FIRE,74,116
Bororo-99_fish-1,,Bororo,99_fish,kare,kare,k a r e,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FISH,104,118
Umutina-99_fish-1,,Umutina,99_fish,hare,hare,h a r e,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FISH,104,118
Otuke-99_fish-1,,Otuke,99_fish,aharo,aharo,a h a r o,,de1912linguistique;monfort1913linguistique,,,,,FISH,104,118
Bororo-100_fleshormeat-1,,Bororo,100_fleshormeat,kodɨ,kodɨ,k o d ɨ,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FLESH,114,119
Umutina-100_fleshormeat-1,,Umutina,100_fleshormeat,kotyka / katika,kotyka,k o t ɨ + k a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FLESH BODY.PART?,114,119 39
Umutina-100_fleshormeat-2,,Umutina,100_fleshormeat,kotyka / katika,katika,k a t i + k a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FLESH BODY.PART?,114,119 39
Bororo-101_flower-1,,Bororo,101_flower,ku / kʷo / oku / okureboe,ku,k u,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FLOWER,117,121
Bororo-101_flower-2,,Bororo,101_flower,ku / kʷo / oku / okureboe,kʷo,kʷ o,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FLOWER,117,121
Bororo-101_flower-3,,Bororo,101_flower,ku / kʷo / oku / okureboe,oku,o k u,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FLOWER,117,121
Bororo-101_flower-4,,Bororo,101_flower,ku / kʷo / oku / okureboe,okureboe,o k u r e b oe,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FLOWER,117,121
Umutina-101_flower-1,,Umutina,101_flower,iku,iku,i k u,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FLOWER,117,121
Otuke-101_flower-1,,Otuke,101_flower,rikihu,rikihu,r i k i h u,,de1912linguistique;monfort1913linguistique,,,,,FLOWER,117,121
Otuke-102_flyinsect-1,,Otuke,102_flyinsect,ruka,ruka,r u k a,,de1912linguistique;monfort1913linguistique,,,,,FLY_sp,238,122
Bororo-102_flyinsect-1,,Bororo,102_flyinsect,ruke,ruke,r u k e,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FLY_sp,238,122
Umutina-102_flyinsect-1,,Umutina,102_flyinsect,urube,urube,u r u b e,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FLY_sp,387,409
Bororo-103_flysp-1,,Bororo,103_flysp,toguare,toguare,t o g ua r e,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FLY_sp,238,122
Umutina-103_flysp-1,,Umutina,103_flysp,otokuare / otokali,otokuare,o t o k ua r e,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FLY_sp,238,122
Umutina-103_flysp-2,,Umutina,103_flysp,otokuare / otokali,otokali,o t o k a l i,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FLY_sp,238,122
Bororo-104_foot-1,,Bororo,104_foot,bɨre,bɨre,b ɨ r e,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FOOT,33,10
Umutina-104_foot-1,,Umutina,104_foot,bure / ambure,bure,b u r e,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FOOT,33,10
